name,type,capacity,address,location_source,confidence,notes
SoMa RISE,sobering,,1076 Howard Street,https://www.sf.gov/soma-rise-center,verified,Drug sobering center operated by HealthRIGHT 360 under DPH; open since 2022; capacity not published
Crisis Stabilization Unit (822 Geary),stabilization,16,822 Geary Street,https://media.api.sf.gov/documents/822_Geary_CSU_Health_Comm_Presentation_Final.pdf,verified,16 beds with stays up to 23 hours; 24/7 drop-off; operated by Crestwood Behavioral Health; opened spring 2025
